,Original Index,Sample Mean,Sample Mean Rank,Sample Standard Deviation,Sample Standard Deviation Rank
342,342,44.666666666666664,62,45.35993617195476,333
343,343,74.46666666666667,473,58.09089757399502,490
344,344,58.4,292,37.15373467095872,168
345,345,76.6,482,51.57491084404731,428
346,346,51.2,157,29.95997329771841,83
347,347,55.53333333333333,246,56.464738259082246,483
348,348,58.266666666666666,291,40.45008682079093,219
349,349,75.46666666666667,476,50.59484257548486,418
350,350,54.2,218,45.16983822988837,328
351,351,45.13333333333333,69,47.63382151770896,362
352,352,54.4,221,48.61628181116752,386
353,353,66.6,418,40.72170358490842,231
354,354,60.266666666666666,319,53.92914222340627,456
355,355,55.13333333333333,235,47.90297734061254,369
356,356,46.06666666666667,79,28.681668278503174,65
357,357,58.0,286,41.65676072723027,250
358,358,68.06666666666666,434,44.220981876200334,308
359,359,65.53333333333333,406,47.8298571824675,366
360,360,90.0,500,54.556654694258626,466
361,361,66.0,410,54.81397110747796,469
362,362,44.666666666666664,63,34.404457075598025,137
363,363,43.2,41,31.280299596665355,103
364,364,40.6,23,30.960343298207423,99
365,365,49.733333333333334,131,35.139450086490434,146
366,366,53.46666666666667,207,38.45752140194363,184
367,367,44.86666666666667,67,21.90846759545159,3
368,368,62.733333333333334,357,52.45197349775816,441
369,369,48.53333333333333,114,33.13795119683486,125
370,370,53.6,210,49.736161032851285,408
371,371,55.4,243,29.154269474151267,69
372,372,38.266666666666666,17,26.751412957787768,39
373,373,64.26666666666667,385,29.984440409430135,84
374,374,65.53333333333333,405,41.86008440826017,259
375,375,50.53333333333333,142,40.06043054234559,207
376,376,78.13333333333334,491,60.68992228258879,497
377,377,53.333333333333336,204,43.453861683837665,288
378,378,61.06666666666667,333,41.76886514185052,257
379,379,43.6,48,33.97015496831636,133
380,380,49.266666666666666,123,42.341244105256905,268
381,381,55.2,237,31.75396488179525,109
382,382,48.333333333333336,106,28.80145498970164,66
383,383,45.93333333333333,76,46.92770529026029,351
384,384,51.266666666666666,159,29.68036067037949,79
385,385,41.6,26,25.502941006872128,26
386,386,68.2,436,42.58302814167032,276
387,387,66.46666666666667,415,56.02915907513397,481
388,388,63.86666666666667,378,46.16873813472034,342
389,389,55.4,240,29.441952575000375,76
390,390,58.06666666666667,288,43.46010759743874,289
391,391,70.2,453,39.76035354829877,199
392,392,58.0,285,50.08564094200481,415
393,393,56.93333333333333,266,44.10614901521534,303
394,394,57.2,273,31.774203373176803,110
395,395,56.53333333333333,260,41.69937763610022,252
396,396,61.733333333333334,342,39.31278720842924,194
397,397,63.46666666666667,370,38.611372615307204,187
398,398,48.4,107,46.18410363503257,343
399,399,52.93333333333333,197,33.24254302346117,127
400,400,43.0,38,36.408397775395564,162
401,401,47.4,94,45.21662146979644,329
402,402,45.666666666666664,73,42.769593115180506,278
403,403,53.333333333333336,205,43.302369890056106,286
404,404,73.26666666666667,466,49.15204786704019,400
405,405,54.8,226,46.47918120744261,348
406,406,68.73333333333333,440,51.51763452126531,427
407,407,49.13333333333333,120,32.321745591710204,114
408,408,40.53333333333333,22,23.89221829881217,13
409,409,81.6,494,46.012110207143145,341
410,410,71.66666666666667,461,48.281417109434955,376
411,411,50.93333333333333,146,50.049213875182986,414
412,412,63.06666666666667,366,39.01733436502782,191
413,413,51.06666666666667,154,38.527293973913885,185
414,414,74.13333333333334,469,53.94423928818491,457
415,415,65.33333333333333,401,39.91896553674468,204
416,416,52.13333333333333,177,35.770831426630004,156
417,417,56.53333333333333,262,52.12603773090574,436
418,418,43.2,39,24.53044755284455,15
419,419,37.266666666666666,11,25.155137693539913,23
420,420,62.93333333333333,360,41.758603333695824,256
421,421,52.266666666666666,182,20.36266424705017,2
422,422,45.93333333333333,75,27.206791869118337,43
423,423,58.666666666666664,295,37.35479825110761,172
424,424,41.86666666666667,29,28.17513256824349,56
425,425,53.53333333333333,208,48.584045980234336,384
426,426,54.93333333333333,230,33.24039424441006,126
427,427,32.666666666666664,4,29.307889397777885,74
428,428,50.333333333333336,139,27.434771124736336,46
429,429,54.266666666666666,220,41.8150121140152,258
430,430,48.46666666666667,109,45.866057581780865,340
431,431,46.6,82,51.760161183233244,431
432,432,74.26666666666667,471,40.465976302262106,222
433,433,53.6,211,43.00298992927286,282
434,434,46.86666666666667,85,29.700569178448575,80
435,435,63.0,364,38.95235184537275,190
436,436,48.53333333333333,111,47.01499254290618,353
437,437,44.86666666666667,66,42.15764066769708,264
438,438,60.46666666666667,320,41.659961365229094,251
439,439,54.8,228,29.30918919773407,75
440,440,60.86666666666667,328,47.897012532347034,367
441,441,64.8,393,37.56366025068073,176
442,442,56.53333333333333,261,42.57911403940848,275
443,443,55.86666666666667,252,42.390812122215266,271
444,444,66.46666666666667,414,41.21869663612561,242
445,445,64.0,380,43.91550328268399,300
446,446,71.4,460,47.16808848605773,356
447,447,63.333333333333336,369,40.75653613955972,233
448,448,54.8,227,45.285128432443,332
449,449,56.46666666666667,259,54.308466410031535,461
450,450,60.666666666666664,326,44.180905162212106,307
451,451,66.86666666666666,424,47.36766025565584,360
452,452,49.86666666666667,133,40.05864748210101,206
453,453,51.333333333333336,162,30.59333883302672,95
454,454,48.6,115,23.748082629370916,12
455,455,51.46666666666667,167,34.6881343785835,142
456,456,52.53333333333333,188,55.14638528066739,475
457,457,62.733333333333334,358,50.608393807841054,419
458,458,32.0,1,27.498051879048763,48
459,459,62.266666666666666,350,43.506102472882496,292
460,460,61.6,340,38.56126850314223,186
461,461,67.06666666666666,425,44.31940346856582,312
462,462,60.6,322,55.17608177462406,476
463,463,47.333333333333336,92,26.59931971919225,38
464,464,53.06666666666667,200,40.680754780655306,228
465,465,44.666666666666664,64,30.030143586228885,85
466,466,51.53333333333333,169,25.812141845779994,30
467,467,66.0,412,39.270126777779275,193
468,468,68.26666666666667,437,44.666169151458085,321
469,469,43.53333333333333,46,32.629668065967785,118
470,470,41.266666666666666,25,28.639300337290432,62
471,471,61.06666666666667,332,53.438170769947725,451
472,472,56.46666666666667,258,32.87610219046801,121
473,473,47.93333333333333,97,41.41508811785294,246
474,474,42.13333333333333,32,24.636983426973206,16
475,475,58.666666666666664,296,49.953788168475796,411
476,476,66.86666666666666,423,47.70574488715269,364
477,477,44.06666666666667,51,40.467741415083886,223
478,478,72.13333333333334,463,40.2401126572313,211
479,479,51.0,148,33.97478056273086,134
480,480,42.6,35,35.86243557978579,157
481,481,65.4,403,38.613099183715214,188
482,482,57.6,281,41.45014216760041,248
483,483,60.6,321,52.55853879247406,443
484,484,55.4,241,47.89840438738165,368
485,485,56.2,256,40.708370497619136,230
486,486,58.666666666666664,297,54.30688810121692,460
487,487,81.33333333333333,493,45.2621990922521,330
488,488,45.53333333333333,71,42.00147389704092,262
489,489,57.06666666666667,270,40.54356856988482,224
490,490,62.86666666666667,359,54.33607939306556,462
491,491,59.8,312,44.53602073442511,319
492,492,65.33333333333333,402,44.59927396376804,320
493,493,71.8,462,36.10144437158001,160
494,494,61.733333333333334,343,46.788989343749705,350
495,495,46.93333333333333,86,48.949633978883504,396
496,496,57.06666666666667,269,56.49332029625483,484
497,497,64.8,392,39.918130503032614,203
498,498,45.93333333333333,77,25.880126591285297,33
499,499,46.46666666666667,80,35.38132410238621,150
500,500,51.93333333333333,174,41.25957320371093,243
